Total Population,Median Age,White,Black,American Indian,Asian,Pacific,Multiracial,Male,Female,Not a citizen,Male 18+ birthright,Male 18+ bloodright,Male 18+ naturalized,Male 18+ not citizen,Female 18+ birthright,Female 18+ bloodright,Female 18+ naturalized,Female 18+ not citizen,Less than HS,HS grad,Some college,Bachelor's degree,Graduate degree,Total income,No income,Median income,Total poverty,Income below poverty (White male),Income below poverty (White female),Income above poverty (White male),Income above poverty (White female),Income below poverty (Black male),Income below poverty (Black female),Income above poverty (Black male),Income above poverty (Black female),Year,State FIPS,State Abbr,District
691709,38.7,468080,191509,6688,9598,60,11047,334603,357106,12448,240694,10191,3769,6422,266883,8971,4101,4870,67374,152140,139943,68296,35203,555135,88043,23092,676508,25290,32349,199058,203309,25655,36621,58359,64318,2014,01,AL,1
685500,37.8,448069,207107,2953,8199,120,12473,334415,351085,12899,242441,9228,2844,6384,264142,9033,3899,5134,77706,147735,134433,60767,36737,552334,76636,22525,664714,25675,31414,189758,191033,26679,36413,63996,70677,2014,01,AL,2
692659,37.7,489638,175475,1998,9235,274,10096,337938,354721,13796,248760,8840,2491,6349,269204,9285,3482,5803,82250,148478,134012,55390,36205,563209,81910,21508,671857,35131,45105,200008,197148,22161,31999,55758,57893,2014,01,AL,3
695876,38.8,535863,118796,5096,11212,504,16813,341450,354426,18321,246417,13987,5212,8775,262075,14546,6703,7843,67128,128278,137913,86543,50905,565364,80533,25783,679502,27823,35523,231652,232063,12064,16259,39029,44508,2014,01,AL,5
688346,38.6,552810,96977,2181,12096,108,7775,335098,353248,22218,236462,15386,4416,10970,259179,13719,5181,8538,53634,120209,135503,99170,60904,552926,75579,30073,676048,23290,28533,242078,251464,7102,9346,35296,40892,2014,01,AL,6
683276,40.5,603910,47126,5192,3880,186,12149,334924,348352,19611,241094,12610,2643,9967,261365,10395,2815,7580,97092,157224,139800,44695,27803,552636,80762,20768,674179,45505,58560,247852,245306,5826,8060,15199,15846,2014,01,AL,4
680312,35.2,229521,432818,1073,4102,178,6075,317592,362720,11670,230717,8534,2086,6448,279118,6484,1942,4542,79184,145697,130356,50407,28788,550987,86085,17803,656702,15076,19326,91163,90660,62545,85453,129095,146656,2014,01,AL,7
728300,33.4,484195,25148,102743,40976,8335,58521,380119,348181,23770,261046,22572,12215,10357,231546,25046,14209,10837,37700,126611,168570,82261,45177,571190,26180,31441,711235,14742,17005,235176,207548,2024,1463,10767,9496,2014,02,AK,1
716939,40.6,586079,28764,9632,21198,1233,28648,353797,363142,39589,245743,31048,15314,15734,249403,41618,21881,19737,47819,107003,180225,92765,66315,592632,74832,25601,695781,38109,45451,238764,248233,2654,3343,10933,9067,2014,04,AZ,2
725399,30.7,533055,32758,30553,12361,1109,21007,363949,361450,93284,190325,67478,27253,40225,181983,77014,30932,46082,108228,114542,132914,42378,22689,551973,117425,20821,699372,53884,63583,200518,196053,3196,3806,11866,11375,2014,04,AZ,3
