amendment_indicator,amendment_indicator_desc,back_reference_schedule_id,back_reference_transaction_id,beneficiary_committee_name,candidate_first_name,candidate_id,candidate_last_name,candidate_middle_name,candidate_name,candidate_office,candidate_office_description,candidate_office_district,candidate_office_state,candidate_office_state_full,candidate_prefix,candidate_suffix,category_code,category_code_full,comm_dt,committee,committee_id,conduit_committee_city,conduit_committee_name,conduit_committee_state,conduit_committee_street1,conduit_committee_street2,conduit_committee_zip,disbursement_amount,disbursement_date,disbursement_description,disbursement_purpose_category,disbursement_type,disbursement_type_description,election_type,election_type_full,entity_type,entity_type_desc,fec_election_type_desc,fec_election_year,file_number,filing_form,image_number,line_number,line_number_label,link_id,load_date,memo_code,memo_code_full,memo_text,memoed_subtotal,national_committee_nonfederal_account,original_sub_id,payee_employer,payee_first_name,payee_last_name,payee_middle_name,payee_occupation,payee_prefix,payee_suffix,pdf_url,recipient_city,recipient_committee,recipient_committee_id,recipient_name,recipient_state,recipient_zip,ref_disp_excess_flg,report_type,report_year,schedule_type,schedule_type_full,semi_annual_bundled_refund,spender_committee_designation,spender_committee_org_type,spender_committee_type,sub_id,transaction_id,two_year_transaction_period,unused_recipient_committee_id
A,ADD,,,BLAINE FOR CONGRESS,BLAINE,H8MO09153,LUETKEMEYER,,"LUETKEMEYER, BLAINE REP.",H,HOUSE,03,MO,MISSOURI,REP.,,011,Political Contributions,,"{'affiliated_committee_name': 'NOMURA HOLDING AMERICA INC.', 'candidate_ids': [], 'city': 'WASHINGTON', 'committee_id': 'C00491951', 'committee_type': 'Q', 'committee_type_full': 'PAC - Qualified', 'cycle': 2020, 'cycles': [2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_activity': [2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_financial': [2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'designation': 'U', 'designation_full': 'Unauthorized', 'filing_frequency': 'M', 'first_f1_date': '2010-12-22', 'first_file_date': '2010-12-22', 'is_active': True, 'last_cycle_has_activity': 2024, 'last_cycle_has_financial': 2024, 'last_f1_date': '2021-08-18', 'last_file_date': '2023-10-19', 'name': 'NOMURA HOLDING AMERICA INC. POLITICAL ACTION COMMITTEE (NOMURAPAC)', 'organization_type': 'C', 'organization_type_full': 'Corporation', 'party': None, 'party_full': None, 'state': 'DC', 'state_full': 'District Of Columbia', 'street_1': '801 PENNSYLVANIA AVENUE, NW', 'street_2': 'SUITE 625', 'treasurer_name': 'MYRICK, LAUREN MS.', 'zip': '20004'}",C00491951,,,,,,,-2500.0,,,OTHER,24Z,IN-KIND CONTRIBUTION MADE TO REGISTERED FILER,G2020,,CCM,CAMPAIGN COMMITTEE,GENERAL,2020,1476580,F3X,202012029337435538,23,Contributions to Federal Candidates/Committees and Other Political Committees,4120320201963144889,2020-12-31T03:52:02.848000,X,,REDESIGNATION ON 10/15/2019,True,,,,,,,,,,https://docquery.fec.gov/cgi-bin/fecimg/?202012029337435538,JEFFERSON CITY,"{'affiliated_committee_name': 'BLAINE FOR CONGRESS 2008', 'candidate_ids': ['H8MO09153'], 'city': 'ST. ELIZABETH', 'committee_id': 'C00458679', 'committee_type': 'H', 'committee_type_full': 'House', 'cycle': 2020, 'cycles': [2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_activity': [2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_financial': [2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'designation': 'P', 'designation_full': 'Principal campaign committee', 'filing_frequency': 'Q', 'first_f1_date': '2009-01-29', 'first_file_date': '2009-01-29', 'is_active': True, 'last_cycle_has_activity': 2024, 'last_cycle_has_financial': 2024, 'last_f1_date': '2019-02-26', 'last_file_date': '2023-10-25', 'name': 'BLAINE FOR CONGRESS', 'organization_type': None, 'organization_type_full': None, 'party': 'REP', 'party_full': 'REPUBLICAN PARTY', 'state': 'MO', 'state_full': 'Missouri', 'street_1': 'PO BOX 98', 'street_2': None, 'treasurer_name': 'LUETKEMEYER, TREVOR MR.', 'zip': '65075'}",C00458679,BLAINE FOR CONGRESS,MO,65102,,12G,2020,SB,ITEMIZED DISBURSEMENTS,0.00,U,C,Q,4123120201987370165,10376952,2020,C00458679
A,ADD,,,BLAINE FOR CONGRESS,BLAINE,H8MO09153,LUETKEMEYER,,"LUETKEMEYER, BLAINE REP.",H,HOUSE,03,MO,MISSOURI,REP.,,011,Political Contributions,,"{'affiliated_committee_name': 'NOMURA HOLDING AMERICA INC.', 'candidate_ids': [], 'city': 'WASHINGTON', 'committee_id': 'C00491951', 'committee_type': 'Q', 'committee_type_full': 'PAC - Qualified', 'cycle': 2020, 'cycles': [2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_activity': [2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_financial': [2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'designation': 'U', 'designation_full': 'Unauthorized', 'filing_frequency': 'M', 'first_f1_date': '2010-12-22', 'first_file_date': '2010-12-22', 'is_active': True, 'last_cycle_has_activity': 2024, 'last_cycle_has_financial': 2024, 'last_f1_date': '2021-08-18', 'last_file_date': '2023-10-19', 'name': 'NOMURA HOLDING AMERICA INC. POLITICAL ACTION COMMITTEE (NOMURAPAC)', 'organization_type': 'C', 'organization_type_full': 'Corporation', 'party': None, 'party_full': None, 'state': 'DC', 'state_full': 'District Of Columbia', 'street_1': '801 PENNSYLVANIA AVENUE, NW', 'street_2': 'SUITE 625', 'treasurer_name': 'MYRICK, LAUREN MS.', 'zip': '20004'}",C00491951,,,,,,,-1000.0,,,OTHER,24Z,IN-KIND CONTRIBUTION MADE TO REGISTERED FILER,P2020,,CCM,CAMPAIGN COMMITTEE,PRIMARY,2020,1476580,F3X,202012029337435538,23,Contributions to Federal Candidates/Committees and Other Political Committees,4120320201963144889,2020-12-31T03:52:02.848000,X,,REDESIGNATION ON 09/25/2019,True,,,,,,,,,,https://docquery.fec.gov/cgi-bin/fecimg/?202012029337435538,JEFFERSON CITY,"{'affiliated_committee_name': 'BLAINE FOR CONGRESS 2008', 'candidate_ids': ['H8MO09153'], 'city': 'ST. ELIZABETH', 'committee_id': 'C00458679', 'committee_type': 'H', 'committee_type_full': 'House', 'cycle': 2020, 'cycles': [2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_activity': [2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_financial': [2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'designation': 'P', 'designation_full': 'Principal campaign committee', 'filing_frequency': 'Q', 'first_f1_date': '2009-01-29', 'first_file_date': '2009-01-29', 'is_active': True, 'last_cycle_has_activity': 2024, 'last_cycle_has_financial': 2024, 'last_f1_date': '2019-02-26', 'last_file_date': '2023-10-25', 'name': 'BLAINE FOR CONGRESS', 'organization_type': None, 'organization_type_full': None, 'party': 'REP', 'party_full': 'REPUBLICAN PARTY', 'state': 'MO', 'state_full': 'Missouri', 'street_1': 'PO BOX 98', 'street_2': None, 'treasurer_name': 'LUETKEMEYER, TREVOR MR.', 'zip': '65075'}",C00458679,BLAINE FOR CONGRESS,MO,65102,,12G,2020,SB,ITEMIZED DISBURSEMENTS,0.00,U,C,Q,4123120201987370164,10351255,2020,C00458679
N,NO CHANGE,,,,,,,,,,,,,,,,001,Administrative/Salary/Overhead Expenses ,,"{'affiliated_committee_name': None, 'candidate_ids': [], 'city': 'Burlingame', 'committee_id': 'C00371633', 'committee_type': 'Q', 'committee_type_full': 'PAC - Qualified', 'cycle': 2004, 'cycles': [2002, 2004, 2006, 2008, 2010], 'cycles_has_activity': [2002, 2004, 2006, 2008, 2010], 'cycles_has_financial': [2002, 2004, 2006, 2008, 2010], 'designation': 'U', 'designation_full': 'Unauthorized', 'filing_frequency': 'M', 'first_f1_date': '2001-12-20', 'first_file_date': '2001-12-20', 'is_active': True, 'last_cycle_has_activity': 2010, 'last_cycle_has_financial': 2010, 'last_f1_date': '2009-03-29', 'last_file_date': '2009-07-29', 'name': 'DEMOCRATS FOR THE FUTURE', 'organization_type': None, 'organization_type_full': None, 'party': None, 'party_full': None, 'state': 'CA', 'state_full': 'California', 'street_1': '20 Park Road', 'street_2': 'Suite E', 'treasurer_name': 'Miller, Russell H.', 'zip': '94010'}",C00371633,,,,,,,29.67,,UNITEMIZED EXPENSES,MATERIALS,,,,,ORG,ORGANIZATION,,,156738,F3X,24981799214,21B,Other Federal Operating Expenditures,4121720041046882238,2017-06-01T15:55:24.581156,,,,False,,,,,,,,,,http://docquery.fec.gov/cgi-bin/fecimg/?24981799214,BURLINGAME,,,UNITEMIZED DISBURSEMENTS,CA,94010,,M10,2004,SB,ITEMIZED DISBURSEMENTS,,U,,Q,4122320041047599054,B21(B)09/30/2004,2004,
N,NO CHANGE,,,,,,,,,,,,,,,,001,Administrative/Salary/Overhead Expenses ,,"{'affiliated_committee_name': None, 'candidate_ids': [], 'city': 'Burlingame', 'committee_id': 'C00371633', 'committee_type': 'Q', 'committee_type_full': 'PAC - Qualified', 'cycle': 2004, 'cycles': [2002, 2004, 2006, 2008, 2010], 'cycles_has_activity': [2002, 2004, 2006, 2008, 2010], 'cycles_has_financial': [2002, 2004, 2006, 2008, 2010], 'designation': 'U', 'designation_full': 'Unauthorized', 'filing_frequency': 'M', 'first_f1_date': '2001-12-20', 'first_file_date': '2001-12-20', 'is_active': True, 'last_cycle_has_activity': 2010, 'last_cycle_has_financial': 2010, 'last_f1_date': '2009-03-29', 'last_file_date': '2009-07-29', 'name': 'DEMOCRATS FOR THE FUTURE', 'organization_type': None, 'organization_type_full': None, 'party': None, 'party_full': None, 'state': 'CA', 'state_full': 'California', 'street_1': '20 Park Road', 'street_2': 'Suite E', 'treasurer_name': 'Miller, Russell H.', 'zip': '94010'}",C00371633,,,,,,,200.0,,UNITEMIZED EXPENSES,MATERIALS,,,,,ORG,ORGANIZATION,,,156732,F3X,24981797930,21B,Other Federal Operating Expenditures,4121720041046882235,2017-06-01T15:55:24.581156,,,,False,,,,,,,,,,http://docquery.fec.gov/cgi-bin/fecimg/?24981797930,BURLINGAME,,,UNITEMIZED DISBURSEMENTS,CA,94010,,M2,2004,SB,ITEMIZED DISBURSEMENTS,,U,,Q,4122320041047599053,B21(B)01/31/2004,2004,
A,ADD,,,,,,,,,,,,,,,,001,Administrative/Salary/Overhead Expenses ,,"{'affiliated_committee_name': 'NONE', 'candidate_ids': [], 'city': 'Los Angeles', 'committee_id': 'C00095059', 'committee_type': 'Q', 'committee_type_full': 'PAC - Qualified', 'cycle': 2004, 'cycles': [1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022], 'cycles_has_activity': [1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022], 'cycles_has_financial': [1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020], 'designation': 'U', 'designation_full': 'Unauthorized', 'filing_frequency': 'M', 'first_f1_date': '1978-05-05', 'first_file_date': '1978-05-05', 'is_active': True, 'last_cycle_has_activity': 2022, 'last_cycle_has_financial': 2020, 'last_f1_date': '2009-03-31', 'last_file_date': '2021-01-29', 'name': 'L A PAC', 'organization_type': None, 'organization_type_full': None, 'party': 'NNE', 'party_full': 'NONE', 'state': 'CA', 'state_full': 'California', 'street_1': '6380 Wilshire Blvd. #1612', 'street_2': '.', 'treasurer_name': 'Levin, Irwin', 'zip': '90048'}",C00095059,,,,,,,14.6,,UNITEMIZED EXPENSES,MATERIALS,,,,,ORG,ORGANIZATION,,,102192,F3X,23992543984,21B,Other Federal Operating Expenditures,4122020031034234837,2017-06-01T15:55:24.581156,,,,False,,,,,,,,,,http://docquery.fec.gov/cgi-bin/fecimg/?23992543984,BEVERLY HILLS,,,UNITEMIZED DISBURSEMENTS,CA,90211,,M12,2003,SB,ITEMIZED DISBURSEMENTS,,U,,Q,4122320031034293149,B21(B)11/30/2003,2004,
A,ADD,,,,,,,,,,,,,,,,001,Administrative/Salary/Overhead Expenses ,,"{'affiliated_committee_name': None, 'candidate_ids': [], 'city': 'Burlingame', 'committee_id': 'C00371633', 'committee_type': 'Q', 'committee_type_full': 'PAC - Qualified', 'cycle': 2008, 'cycles': [2002, 2004, 2006, 2008, 2010], 'cycles_has_activity': [2002, 2004, 2006, 2008, 2010], 'cycles_has_financial': [2002, 2004, 2006, 2008, 2010], 'designation': 'U', 'designation_full': 'Unauthorized', 'filing_frequency': 'M', 'first_f1_date': '2001-12-20', 'first_file_date': '2001-12-20', 'is_active': True, 'last_cycle_has_activity': 2010, 'last_cycle_has_financial': 2010, 'last_f1_date': '2009-03-29', 'last_file_date': '2009-07-29', 'name': 'DEMOCRATS FOR THE FUTURE', 'organization_type': None, 'organization_type_full': None, 'party': None, 'party_full': None, 'state': 'CA', 'state_full': 'California', 'street_1': '20 Park Road', 'street_2': 'Suite E', 'treasurer_name': 'Miller, Russell H.', 'zip': '94010'}",C00371633,,,,,,,5.95,,UNITEMIZED EXPENSES,MATERIALS,,,,,ORG,ORGANIZATION,,,313312,F3X,27931677756,21B,Other Federal Operating Expenditures,4121920071082979551,2017-06-01T16:42:03.383133,,,,False,,,,,,,,,,http://docquery.fec.gov/cgi-bin/fecimg/?27931677756,BURLINGAME,,,UNITEMIZED DISBURSEMENTS,CA,940104443,,M12,2007,SB,ITEMIZED DISBURSEMENTS,,U,,Q,4122020071083088154,B21(B)11/30/2007,2008,
A,ADD,,,,,,,,,,,,,,,,001,Administrative/Salary/Overhead Expenses ,,"{'affiliated_committee_name': 'COOPERATIVE OF AMERICAN PHYSICIANS-MUTUAL PROTECTION TRUST', 'candidate_ids': [], 'city': 'Los Angeles', 'committee_id': 'C00161604', 'committee_type': 'Q', 'committee_type_full': 'PAC - Qualified', 'cycle': 2008, 'cycles': [1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_activity': [1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_financial': [1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'designation': 'U', 'designation_full': 'Unauthorized', 'filing_frequency': 'M', 'first_f1_date': '1982-09-13', 'first_file_date': '1982-09-13', 'is_active': True, 'last_cycle_has_activity': 2024, 'last_cycle_has_financial': 2024, 'last_f1_date': '2022-11-17', 'last_file_date': '2023-07-28', 'name': 'COOPERATIVE OF AMERICAN PHYSICIANS - MUTUAL PROTECTION TRUST (CAP-MPT) FEDERAL PAC', 'organization_type': 'M', 'organization_type_full': 'Membership Organization', 'party': None, 'party_full': None, 'state': 'CA', 'state_full': 'California', 'street_1': '333 South Hope Street', 'street_2': '8th Floor', 'treasurer_name': 'Pessner, Kirk Alan', 'zip': '90071'}",C00161604,,,,,,,100.0,,UNITEMIZED EXPENSES,MATERIALS,,,,,ORG,ORGANIZATION,,,313309,F3X,27991034647,28A,Refunds of Contributions Made to Individuals/Persons Other Than Political Committees,4121920071082979548,2017-06-01T16:42:03.383133,,,,False,,,,,,,,,,http://docquery.fec.gov/cgi-bin/fecimg/?27991034647,LOS ANGELES,,,UNITEMIZED REFUNDS OF CONTRIBUTIONS THIS PERIOD: 11/01/2007 - 11/30/2007,CA,90071,,M12,2007,SB,ITEMIZED DISBURSEMENTS,,U,M,Q,4122020071083088149,B28(A)11/30/2007,2008,
A,ADD,,,BILL CASSIDY FOR US SENATE,WILLIAM M.,S4LA00107,CASSIDY,,"CASSIDY, WILLIAM M.",S,SENATE,,LA,LOUISIANA,,,011,Political Contributions,,"{'affiliated_committee_name': 'NEW YORK LIFE INSURANCE COMPANY', 'candidate_ids': [], 'city': 'NEW YORK', 'committee_id': 'C00158881', 'committee_type': 'Q', 'committee_type_full': 'PAC - Qualified', 'cycle': 2020, 'cycles': [1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_activity': [1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_financial': [1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'designation': 'B', 'designation_full': 'Lobbyist/Registrant PAC', 'filing_frequency': 'M', 'first_f1_date': '1982-07-12', 'first_file_date': '1982-07-12', 'is_active': True, 'last_cycle_has_activity': 2024, 'last_cycle_has_financial': 2024, 'last_f1_date': '2023-08-23', 'last_file_date': '2023-11-16', 'name': 'NEW YORK LIFE INSURANCE COMPANY POLITICAL ACTION COMMITTEE', 'organization_type': 'W', 'organization_type_full': 'Corporation w/o capital stock', 'party': None, 'party_full': None, 'state': 'NY', 'state_full': 'New York', 'street_1': '51 MADISON AVENUE', 'street_2': 'ROOM 1109', 'treasurer_name': 'STAGIAS, HELEN', 'zip': '10010'}",C00158881,,,,,,,-2500.0,,,OTHER,,,R2020,2020 RUN-OFF,CCM,CAMPAIGN COMMITTEE,RUNOFF,2020,1476918,F3X,202012029337457859,23,Contributions to Federal Candidates/Committees and Other Political Committees,4120320201963145171,2020-12-18T03:58:31.928000,X,,REDESIGNATION ON 02/18/2020,True,,,,,,,,,,https://docquery.fec.gov/cgi-bin/fecimg/?202012029337457859,BATON ROUGE,"{'affiliated_committee_name': 'CASSIDY VICTORY 2020', 'candidate_ids': ['S4LA00107'], 'city': 'BATON ROUGE', 'committee_id': 'C00543983', 'committee_type': 'S', 'committee_type_full': 'Senate', 'cycle': 2020, 'cycles': [2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_activity': [2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_financial': [2014, 2016, 2018, 2020, 2022, 2024], 'designation': 'P', 'designation_full': 'Principal campaign committee', 'filing_frequency': 'Q', 'first_f1_date': '2013-04-22', 'first_file_date': '2013-04-22', 'is_active': True, 'last_cycle_has_activity': 2024, 'last_cycle_has_financial': 2024, 'last_f1_date': '2023-03-31', 'last_file_date': '2023-10-15', 'name': 'BILL CASSIDY FOR US SENATE', 'organization_type': None, 'organization_type_full': None, 'party': 'REP', 'party_full': 'REPUBLICAN PARTY', 'state': 'LA', 'state_full': 'Louisiana', 'street_1': 'PO BOX 80505', 'street_2': None, 'treasurer_name': 'STEPHENS, RALPH J.', 'zip': '708980505'}",C00543983,BILL CASSIDY FOR US SENATE,LA,70898,,30G,2020,SB,ITEMIZED DISBURSEMENTS,0.00,B,W,Q,4121820201977595625,13888290,2020,C00543983
N,NO CHANGE,,,,,,,,,,,,,,,,001,Administrative/Salary/Overhead Expenses ,,"{'affiliated_committee_name': None, 'candidate_ids': ['H2CA26026'], 'city': 'Los Angeles', 'committee_id': 'C00147686', 'committee_type': 'H', 'committee_type_full': 'House', 'cycle': 2004, 'cycles': [1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016], 'cycles_has_activity': [1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016], 'cycles_has_financial': [1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016], 'designation': 'P', 'designation_full': 'Principal campaign committee', 'filing_frequency': 'Q', 'first_f1_date': '1981-12-04', 'first_file_date': '1981-12-04', 'is_active': True, 'last_cycle_has_activity': 2016, 'last_cycle_has_financial': 2016, 'last_f1_date': '2012-02-01', 'last_file_date': '2016-02-24', 'name': 'BERMAN FOR CONGRESS', 'organization_type': None, 'organization_type_full': None, 'party': 'DEM', 'party_full': 'DEMOCRATIC PARTY', 'state': 'CA', 'state_full': 'California', 'street_1': '6380 Wilshire Blvd. #1612', 'street_2': None, 'treasurer_name': 'Corwin, Bruce', 'zip': '90048'}",C00147686,,,,,,,1034.98,,UNITEMIZED EXPENSES,MATERIALS,,,,,ORG,ORGANIZATION,,,101626,F3,23992471318,21,Other Disbursements,4121720031034134239,2017-06-01T15:55:24.581156,,,,False,,,,,,,,,,http://docquery.fec.gov/cgi-bin/fecimg/?23992471318,LOS ANGELES,,,UNITEMIZED DISBURSEMENTS,CA,90048,,Q3,2003,SB,ITEMIZED DISBURSEMENTS,,P,,H,4121820031034176959,B2109/30/2003,2004,
N,NO CHANGE,,,,,,,,,,,,,,,,001,Administrative/Salary/Overhead Expenses ,,"{'affiliated_committee_name': None, 'candidate_ids': ['H2CA26026'], 'city': 'Los Angeles', 'committee_id': 'C00147686', 'committee_type': 'H', 'committee_type_full': 'House', 'cycle': 2004, 'cycles': [1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016], 'cycles_has_activity': [1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016], 'cycles_has_financial': [1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016], 'designation': 'P', 'designation_full': 'Principal campaign committee', 'filing_frequency': 'Q', 'first_f1_date': '1981-12-04', 'first_file_date': '1981-12-04', 'is_active': True, 'last_cycle_has_activity': 2016, 'last_cycle_has_financial': 2016, 'last_f1_date': '2012-02-01', 'last_file_date': '2016-02-24', 'name': 'BERMAN FOR CONGRESS', 'organization_type': None, 'organization_type_full': None, 'party': 'DEM', 'party_full': 'DEMOCRATIC PARTY', 'state': 'CA', 'state_full': 'California', 'street_1': '6380 Wilshire Blvd. #1612', 'street_2': None, 'treasurer_name': 'Corwin, Bruce', 'zip': '90048'}",C00147686,,,,,,,292.5,,UNITEMIZED EXPENSES,MATERIALS,,,,,ORG,ORGANIZATION,,,101626,F3,23992471314,17,Operating Expenditures,4121720031034134239,2017-06-01T15:55:24.581156,,,,False,,,,,,,,,,http://docquery.fec.gov/cgi-bin/fecimg/?23992471314,LOS ANGELES,,,UNITEMIZED DISBURSEMENTS,CA,90048,,Q3,2003,SB,ITEMIZED DISBURSEMENTS,,P,,H,4121820031034176949,B1709/30/2003,2004,
